-1	-7.74902e-05	1.82032e-05	-7.74904e-05	1	-1.14121e-05	-1.82023e-05	-1.14135e-05	-1	-0.776902	0.028501	0.611999	
-1	-0.00074905	0.000210306	-0.000749078	1	-0.000135749	-0.000210204	-0.000135906	-1	-0.776916	0.0285159	0.611983	
-0.999999	-0.00125608	0.000400488	-0.00125619	0.999999	-0.000255802	-0.000400166	-0.000256305	-1	-0.776917	0.0285335	0.611968	
-0.999999	-0.00162796	0.000588713	-0.00162817	0.999999	-0.000371617	-0.000588107	-0.000372575	-1	-0.776908	0.0285532	0.611954	
-0.999998	-0.00188926	0.000774957	-0.00188964	0.999998	-0.000483223	-0.000774042	-0.000484687	-1	-0.77689	0.0285745	0.61194	
-0.999997	-0.00206057	0.000959204	-0.00206114	0.999998	-0.00059064	-0.000957985	-0.000592615	-0.999999	-0.776865	0.0285968	0.611928	
-0.999997	-0.00215907	0.00114144	-0.00215986	0.999997	-0.000693877	-0.00113994	-0.00069634	-0.999999	-0.776835	0.0286198	0.611917	
-0.999997	-0.00219909	0.00132167	-0.00220013	0.999997	-0.000792939	-0.00131992	-0.000795845	-0.999999	-0.7768	0.0286431	0.611906	
-0.999996	-0.00219256	0.00149988	-0.0021939	0.999997	-0.000887826	-0.00149793	-0.000891113	-0.999998	-0.776761	0.0286665	0.611897	
-0.999996	-0.00214941	0.00167607	-0.00215106	0.999997	-0.000978532	-0.00167396	-0.000982134	-0.999998	-0.776719	0.0286897	0.611888	
-0.999996	-0.00207786	0.00185024	-0.00207984	0.999997	-0.00106505	-0.00184802	-0.0010689	-0.999998	-0.776675	0.0287125	0.611881	
-0.999996	-0.00198471	0.0020224	-0.00198703	0.999997	-0.00114738	-0.00202012	-0.00115139	-0.999997	-0.776629	0.0287348	0.611874	
-0.999996	-0.00187555	0.00219255	-0.00187824	0.999997	-0.00122549	-0.00219024	-0.00122961	-0.999997	-0.776582	0.0287565	0.611868	
-0.999996	-0.001755	0.00236068	-0.00175807	0.999998	-0.0012994	-0.0023584	-0.00130354	-0.999996	-0.776534	0.0287774	0.611864	
-0.999995	-0.00162681	0.00252681	-0.00163027	0.999998	-0.00136908	-0.00252458	-0.00137319	-0.999996	-0.776485	0.0287975	0.61186	
-0.999995	-0.00149405	0.00269094	-0.00149792	0.999998	-0.00143452	-0.00268879	-0.00143854	-0.999995	-0.776435	0.0288167	0.611858	
-0.999995	-0.0013592	0.00285306	-0.00136347	0.999998	-0.00149571	-0.00285102	-0.00149959	-0.999995	-0.776385	0.0288348	0.611856	
-0.999995	-0.00122424	0.00301318	-0.00122892	0.999998	-0.00155265	-0.00301128	-0.00155634	-0.999994	-0.776335	0.028852	0.611855	
-0.999994	-0.00109076	0.00317131	-0.00109585	0.999998	-0.00160531	-0.00316955	-0.00160878	-0.999994	-0.776285	0.028868	0.611855	
-0.999994	-0.000959995	0.00332744	-0.000965502	0.999998	-0.0016537	-0.00332584	-0.00165691	-0.999993	-0.776234	0.028883	0.611857	
-0.999994	-0.000832918	0.00348157	-0.000838833	0.999998	-0.00169781	-0.00348015	-0.00170072	-0.999992	-0.776184	0.0288969	0.611859	
-0.999993	-0.000710259	0.00363372	-0.000716576	0.999998	-0.00173761	-0.00363248	-0.00174021	-0.999992	-0.776134	0.0289096	0.611862	
-0.999993	-0.000592559	0.00378387	-0.000599272	0.999998	-0.00177312	-0.00378281	-0.00177537	-0.999991	-0.776084	0.0289212	0.611866	
-0.999992	-0.000479516	0.00387829	-0.000486487	0.999998	-0.00179676	-0.00387742	-0.00179864	-0.999991	-0.776051	0.028929	0.611868	
-0.999992	-0.000372195	0.00391444	-0.000379275	0.999998	-0.00180818	-0.00391376	-0.00180965	-0.999991	-0.776035	0.028933	0.611867	
-0.999992	-0.000271433	0.00394162	-0.000278586	0.999998	-0.00181428	-0.00394113	-0.00181537	-0.999991	-0.776021	0.0289358	0.611866	
-0.999992	-0.000177194	0.00395782	-0.000184377	0.999998	-0.00181477	-0.0039575	-0.00181549	-0.999991	-0.77601	0.0289372	0.611866	
-0.999992	-8.9416e-05	0.00396303	-9.65883e-05	0.999998	-0.00180964	-0.00396286	-0.00181001	-0.999991	-0.776002	0.0289371	0.611866	
-0.999992	-7.71908e-06	0.00395732	-1.48384e-05	0.999998	-0.001799	-0.0039573	-0.00179905	-0.999991	-0.775997	0.0289357	0.611866	
-0.999992	7.38238e-05	0.00394337	6.67823e-05	0.999998	-0.00178575	-0.00394349	-0.00178547	-0.999991	-0.775994	0.0289338	0.611867	
-0.999992	0.000153772	0.00392484	0.000146821	0.999998	-0.00177114	-0.00392511	-0.00177055	-0.999991	-0.775939	0.0288783	0.611867	
-0.999992	0.000231036	0.00390086	0.000224195	0.999998	-0.00175415	-0.00390126	-0.00175327	-0.999991	-0.775758	0.0286944	0.611868	
-0.999992	0.000305709	0.00387094	0.000298994	0.999998	-0.00173498	-0.00387146	-0.00173381	-0.999991	-0.775479	0.02841	0.61187	
-0.999993	0.000377755	0.00383475	0.000371185	0.999998	-0.00171379	-0.00383539	-0.00171236	-0.999991	-0.775126	0.0280491	0.611871	
-0.999993	0.000447083	0.00379202	0.000440674	0.999998	-0.00169076	-0.00379277	-0.00168907	-0.999991	-0.774718	0.0276316	0.611872	
-0.999993	0.000513562	0.0037425	0.00050733	0.999998	-0.00166599	-0.00374335	-0.00166408	-0.999992	-0.774273	0.027174	0.611874	
-0.999993	0.00057696	0.00368606	0.00057092	0.999998	-0.00163957	-0.003687	-0.00163745	-0.999992	-0.773803	0.0266895	0.611876	
