0.785398	1.25664	-1.5708	-1.5708	0	0	0	0.785398	1.25664	-1.5708	-1.5708	0	0	0	
0.812058	1.27531	-1.53791	-1.49631	0.0231986	0.042154	-0.0378335	0.801079	1.21755	-1.52545	-1.47778	-0.0235605	0.0311145	0.0586009	
0.838566	1.29388	-1.50522	-1.42225	0.0462654	0.0840687	-0.0754521	0.81667	1.17869	-1.48036	-1.38529	-0.0469873	0.0620524	0.116869	
0.853206	1.30414	-1.48716	-1.38135	0.0590043	0.107217	-0.0962275	0.825281	1.15723	-1.45546	-1.33421	-0.059925	0.0791382	0.149048	
0.805625	1.30458	-1.51016	-1.38229	0.036096	0.13418	-0.0744247	0.732669	1.15482	-1.38002	-1.27906	0.0204751	0.0633578	0.116152	
0.767119	1.31446	-1.52856	-1.38772	0.00830654	0.165363	-0.0612619	0.632014	1.14092	-1.31926	-1.21384	0.092138	0.0589645	0.0791363	
0.728917	1.32426	-1.54681	-1.39311	-0.0192642	0.196301	-0.0482027	0.532151	1.12713	-1.25897	-1.14913	0.163237	0.0546058	0.042412	
0.691034	1.33398	-1.56491	-1.39845	-0.046605	0.226981	-0.0352524	0.433121	1.11346	-1.19919	-1.08496	0.233743	0.0502835	0.00599419	
0.649415	1.33963	-1.56769	-1.40744	-0.0622189	0.244147	-0.0193033	0.339038	1.11055	-1.1199	-1.04149	0.314497	0.0334041	-0.0213804	
0.608824	1.35211	-1.5787	-1.41417	-0.0848124	0.266696	-0.00936888	0.24528	1.09822	-1.05089	-0.989077	0.391216	0.0195788	-0.051022	
0.568644	1.36447	-1.58959	-1.42083	-0.107177	0.289018	0.000464937	0.152471	1.08602	-0.982577	-0.937198	0.467158	0.00589357	-0.0803635	
0.528896	1.37669	-1.60037	-1.42742	-0.129302	0.311099	0.0101932	0.0606588	1.07395	-0.914996	-0.885875	0.542284	-0.00764478	-0.10939	
0.483514	1.37777	-1.60012	-1.43531	-0.137852	0.316381	0.0218898	-0.0240231	1.07434	-0.829036	-0.866677	0.624481	-0.0294096	-0.128552	
0.441122	1.38772	-1.60645	-1.44167	-0.153173	0.329014	0.0298186	-0.109928	1.06548	-0.755437	-0.834901	0.70072	-0.0455631	-0.151495	
0.399315	1.39753	-1.61269	-1.44795	-0.168284	0.341473	0.0376379	-0.194648	1.05675	-0.682854	-0.803563	0.775908	-0.0614938	-0.174121	
0.358116	1.40719	-1.61884	-1.45413	-0.183174	0.35375	0.0453435	-0.278135	1.04814	-0.611327	-0.772682	0.850002	-0.0771926	-0.196419	
0.313692	1.40764	-1.61966	-1.45959	-0.188186	0.354539	0.0545417	-0.356483	1.04901	-0.530472	-0.769806	0.925493	-0.0952952	-0.211212	
0.272129	1.41588	-1.6242	-1.46456	-0.198074	0.360826	0.0618082	-0.435477	1.04227	-0.46035	-0.756873	0.994082	-0.107158	-0.229199	
0.219491	1.38119	-1.54938	-1.42198	-0.248471	0.382278	0.145117	-0.433139	1.03506	-0.453892	-0.728295	0.95886	-0.121689	-0.163565	
0.167218	1.34675	-1.47508	-1.3797	-0.298519	0.403582	0.227848	-0.430817	1.02789	-0.44748	-0.699916	0.923882	-0.136119	-0.0983867	
0.117644	1.32417	-1.39026	-1.34598	-0.33191	0.412981	0.317012	-0.430829	1.02238	-0.43913	-0.676315	0.886015	-0.158123	-0.0354677	
0.0646458	1.295	-1.30344	-1.30672	-0.368132	0.431674	0.403546	-0.427069	1.01721	-0.431854	-0.646603	0.85028	-0.176785	0.0291436	
0.0120127	1.26604	-1.21722	-1.26774	-0.404105	0.450239	0.489484	-0.423335	1.01207	-0.424628	-0.617096	0.814791	-0.195319	0.0933097	
-0.0364593	1.25499	-1.12416	-1.23721	-0.427887	0.463896	0.580993	-0.423407	1.01003	-0.417799	-0.585116	0.775671	-0.217828	0.150878	
-0.0884412	1.23748	-1.03037	-1.20098	-0.453621	0.48024	0.668964	-0.419614	1.00762	-0.411129	-0.551213	0.738961	-0.240391	0.211332	
-0.14004	1.22011	-0.937269	-1.16502	-0.479165	0.496464	0.756287	-0.415849	1.00522	-0.404508	-0.517559	0.702521	-0.262788	0.27134	
-0.18552	1.22165	-0.840769	-1.13579	-0.493209	0.512429	0.848557	-0.417832	1.00617	-0.399408	-0.479514	0.662569	-0.286743	0.321781	
-0.234242	1.21723	-0.744401	-1.10154	-0.508866	0.527774	0.936773	-0.416182	1.00674	-0.394167	-0.441041	0.625231	-0.311065	0.375125	
-0.28255	1.21284	-0.648851	-1.06758	-0.52439	0.542988	1.02424	-0.414546	1.00731	-0.388971	-0.402893	0.58821	-0.33518	0.428016	
-0.330425	1.20849	-0.554157	-1.03392	-0.539774	0.558066	1.11092	-0.412924	1.00787	-0.383821	-0.365088	0.55152	-0.359079	0.480433	
-0.363057	1.23393	-0.459334	-1.00817	-0.532074	0.575259	1.20476	-0.426108	1.0142	-0.382294	-0.320346	0.51004	-0.383513	0.511012	
-0.404178	1.24418	-0.365159	-0.974833	-0.532266	0.588035	1.29054	-0.430293	1.0192	-0.37906	-0.278278	0.474219	-0.406914	0.550705	
-0.444837	1.25431	-0.272043	-0.941868	-0.532456	0.600668	1.37535	-0.43443	1.02414	-0.375862	-0.236682	0.4388	-0.430052	0.589952	
-0.485015	1.26432	-0.180028	-0.909293	-0.532643	0.61315	1.45917	-0.438519	1.02903	-0.372702	-0.195578	0.4038	-0.452917	0.628735	
-0.507041	1.29625	-0.091817	-0.882477	-0.508779	0.624546	1.54601	-0.460208	1.03977	-0.372642	-0.151167	0.367565	-0.475063	0.643902	
