0.924766	0.300578	-0.233366	0.380527	-0.726485	0.572204	0.0024548	-0.617958	-0.786208	0.0132933	0.637423	1.21369	
0.908747	0.290374	-0.299771	0.415377	-0.699013	0.582102	-0.0405161	-0.653502	-0.75584	-0.00120268	0.629924	1.22085	
0.888135	0.277942	-0.366012	0.451906	-0.673105	0.585415	-0.0836525	-0.685331	-0.723411	-0.0145985	0.620801	1.228	
0.862688	0.263745	-0.431519	0.489633	-0.649174	0.582093	-0.126607	-0.71345	-0.689173	-0.026769	0.610147	1.23507	
0.832233	0.248287	-0.495724	0.528027	-0.627569	0.572141	-0.169045	-0.73791	-0.653385	-0.0375984	0.59807	1.24197	
0.796675	0.232109	-0.558063	0.566511	-0.608563	0.555622	-0.210651	-0.758799	-0.61632	-0.0469808	0.584692	1.24863	
0.756002	0.215775	-0.617983	0.604478	-0.592356	0.532654	-0.251132	-0.776245	-0.578253	-0.0548217	0.570143	1.25497	
0.710284	0.199859	-0.674946	0.641301	-0.579059	0.503412	-0.290222	-0.79041	-0.539466	-0.0610384	0.554564	1.26092	
0.659682	0.184936	-0.728435	0.676343	-0.5687	0.468124	-0.327688	-0.801485	-0.500242	-0.0655611	0.538106	1.26641	
0.60444	0.171572	-0.777956	0.708973	-0.56122	0.427071	-0.363331	-0.809688	-0.460864	-0.0683331	0.520928	1.27138	
0.544888	0.160306	-0.823042	0.738577	-0.55647	0.380584	-0.396989	-0.815256	-0.421612	-0.0693121	0.503193	1.27577	
0.481438	0.151643	-0.863262	0.764572	-0.55422	0.329043	-0.42854	-0.818441	-0.382764	-0.06847	0.485072	1.27953	
0.414576	0.146041	-0.89822	0.786417	-0.554155	0.272874	-0.457902	-0.819502	-0.344589	-0.0657933	0.46674	1.2826	
0.34486	0.143902	-0.927558	0.803626	-0.555888	0.212542	-0.485034	-0.818706	-0.307347	-0.0612838	0.448372	1.28495	
0.272905	0.14556	-0.950965	0.815776	-0.558965	0.148551	-0.509933	-0.816315	-0.271289	-0.0549583	0.430145	1.28654	
