1998,-38827,77959,84135,86668,111950,-78782,-86054,-41043,79289,93070,92011,115087,-81465,-81115,
-164335,-40071,82526,88281,91081,106963,-79719,-89348,-41414,82516,95107,95045,112297,-81946,-83471,
-160315,-46066,68940,97567,73041,118822,-85291,-74294,-39613,68104,93060,77395,126407,-85984,-69505,
-160314,-5943,75912,87069,84727,111832,-100623,-83863,-1023,71963,76442,83734,125876,-98697,-77905,
-160314,-22041,75310,97558,81964,111299,-97741,-81333,-17262,71541,88369,79522,125380,-96910,-74512,
-160314,-26305,75303,99473,82228,113973,-96391,-80953,-26326,71342,92555,76964,123414,-94549,-73138,
-160314,-25524,75285,97292,81856,111443,9364,-81358,-21084,71554,88409,79693,125401,9836,-74522,
-160314,-9460,76102,87037,84806,111717,6418,-84035,-4768,71952,77484,83519,125853,7382,-77650,
-160314,-6265,76310,84124,85495,111817,6336,-84702,-1451,72048,74279,84583,125972,7484,-78475,
-160315,-46066,68940,97567,73041,118822,-85291,-74294,-39613,68104,93060,77395,126407,-85984,-69505,
